Split,Client,Loss,Variance,Divergence,R_k,Alpha,RMSE,MAE
0.05,Client_1,0.003972967885666885,0.013054016046226025,0.026690726966730187,46.89930314512941,0.0036471905805718938,0.05735590681433678,0.03359827771782875
0.05,Client_2,0.005531412743254391,0.01594185084104538,0.05894429888576269,0.000169934033509723,0.0006662846736902056,0.05681004747748375,0.030255552381277084
0.05,Client_1,0.0036222431368835035,0.014799182303249836,0.024105497702424015,329.4514789554448,0.9514708025938448,0.05470244213938713,0.030073801055550575
0.05,Client_2,0.0039016686114440066,0.0157235786318779,0.04122287780046463,0.34984686563730955,0.0016746277894631003,0.0544285885989666,0.03307632356882095
0.05,Client_3,0.00311807830587645,0.019974539056420326,0.04738447529130748,0.6272734131881142,0.04685455961669214,0.05505291000008583,0.030741656199097633
0.05,Client_3,0.003115792316684783,0.014467869885265827,0.04261056732918535,4822.966175794778,0.9972160103299265,0.05551287904381752,0.037043459713459015
0.05,Client_1,0.003473150785314503,0.016369204968214035,0.02356787278716053,0.586542617215235,0.0020219714731840076,0.05424608662724495,0.03579816594719887
0.05,Client_2,0.004696030832413595,0.014478259719908237,0.0485217154824308,0.4848945284066575,0.0007620081968898085,0.05261775106191635,0.03721470758318901
0.05,Client_3,0.00318303870124333,0.014907232485711575,0.029231015260198286,11879.319006159561,0.9973337554379182,0.05489024147391319,0.035775963217020035
0.05,Client_2,0.004408095108735362,0.01390164066106081,0.050179608432309966,0.5065660686627069,0.000706886447563042,0.05147168040275574,0.036006491631269455
0.05,Client_1,0.0034223937757096056,0.017688555642962456,0.029090185649693012,0.663322874660433,0.0019593481145188632,0.05346593260765076,0.03465878218412399
0.05,Client_2,0.004649010394046146,0.013702650554478168,0.05258674241070237,0.506562212160604,0.002197889280341253,0.052778296172618866,0.032165054231882095
0.05,Client_3,0.00309093809436654,0.018504662439227104,0.037997109948524406,3.95636409736122,0.05700881848499211,0.050908781588077545,0.033677030354738235
0.05,Client_1,0.0033654222885689715,0.014859980903565884,0.020899392864001647,310.5258169205631,0.9407932822346668,0.05399583652615547,0.03306027874350548
0.05,Client_2,0.004643044945142563,0.013909720815718174,0.052342742548457215,0.004950353298122191,0.0006674807960580423,0.05465531349182129,0.029522232711315155
0.05,Client_3,0.0030813294285160467,0.011558912694454193,0.04637350195220539,3920.3289728256686,0.9972865172689771,0.05368359014391899,0.03183063492178917
0.05,Client_1,0.0034418263369056716,0.015622364357113838,0.02009051466094596,0.5756247059215249,0.002045991934964774,0.054404374212026596,0.029333652928471565
0.05,Client_2,0.004457790915830921,0.014624832198023796,0.0466467436136944,0.5065643885427484,0.00156596040702034,0.05339028686285019,0.03000866062939167
0.05,Client_3,0.003076224961369408,0.016412785276770592,0.03367091229717646,535.3337846327859,0.995824429348637,0.05246683955192566,0.029412053525447845
