Alpha,Round,Client,Loss,Samples,RMSE,MAE,NRMSE,Algorithm
0.3,11,Client_2,0.001085150681954302,14451,0.033405642956495285,0.022053439170122147,0.05505674332380295,FedNova
0.3,11,Client_3,0.0010474903964230173,27939,0.039392560720443726,0.02401122823357582,0.05663416162133217,FedNova
0.3,12,Client_1,0.001119303317228481,22407,0.03546924144029617,0.022931745275855064,0.06526367366313934,FedNova
0.3,12,Client_2,0.0011290100921233258,14451,0.03337017819285393,0.022009259089827538,0.05499829351902008,FedNova
0.3,12,Client_3,0.0010442643176750996,27939,0.039352960884571075,0.02396445907652378,0.056577228009700775,FedNova
0.3,13,Client_1,0.0011187024166405583,22407,0.035449687391519547,0.02290785126388073,0.0652276873588562,FedNova
0.3,13,Client_2,0.0011054849010435222,14451,0.033347997814416885,0.02198643423616886,0.054961737245321274,FedNova
0.3,13,Client_3,0.0010253505639427473,27939,0.03932612016797066,0.023939132690429688,0.05653864145278931,FedNova
0.3,14,Client_3,0.0010370539303596724,27939,0.03331413120031357,0.021950434893369675,0.05490592122077942,FedNova
0.3,14,Client_2,0.0010896126412959519,14451,0.03541707247495651,0.02286834828555584,0.06516768038272858,FedNova
0.3,14,Client_1,0.0010872622104346201,22407,0.03928259015083313,0.023897310718894005,0.056476056575775146,FedNova
0.3,15,Client_1,0.0011222524455813505,22407,0.039245378226041794,0.02385658398270607,0.056422557681798935,FedNova
0.3,15,Client_2,0.0010887169654990975,14451,0.03328254073858261,0.02191302739083767,0.05485385283827782,FedNova
0.3,15,Client_3,0.0010312242205244542,27939,0.03538776934146881,0.022829491645097733,0.06511376053094864,FedNova
0.3,16,Client_3,0.0010197810569334157,27939,0.033247459679841995,0.02186994068324566,0.05479603633284569,FedNova
0.3,16,Client_2,0.0010981909790346103,14451,0.03535495325922966,0.022784851491451263,0.06505338102579117,FedNova
0.3,16,Client_1,0.001097805566674747,22407,0.0392046794295311,0.023810043931007385,0.05636404827237129,FedNova
0.3,17,Client_3,0.001033487347855054,27939,0.033211223781108856,0.021824875846505165,0.054736316204071045,FedNova
0.3,17,Client_1,0.0011017061466138186,22407,0.03916236385703087,0.023761514574289322,0.05630321055650711,FedNova
