Split,Client,Loss,Variance,Divergence,R_k,Alpha,RMSE,MAE
0.05,Client_1,0.002804653568148003,0.01555956993252039,0.47298961378376614,10.029512809966358,0.9390182363468227,0.05878938362002373,0.0355701819062233
0.05,Client_3,0.002427109588273053,0.018225202336907387,2.1902310247188814,0.018738444173537466,0.04679742995390541,0.05732851102948189,0.036879442632198334
0.05,Client_2,0.002520368805807842,0.01756073161959648,0.2586691202078654,0.14467790381193793,0.014184323699271867,0.05872652679681778,0.03884996473789215
0.05,Client_3,0.002421845836420895,0.016384638845920563,2.1150777765210136,0.07581002729616025,0.05671532048000228,0.056657686829566956,0.03504865989089012
0.05,Client_1,0.00261074682426448,0.017048073932528496,0.5202868768688199,0.006437757653517895,0.00289707744194919,0.05815913528203964,0.033916816115379333
0.05,Client_2,0.002888632593613726,0.012301361188292503,0.17852101086393699,6.105233896053948,0.9403875920780487,0.05806994438171387,0.03732205554842949
0.05,Client_3,0.0024529254892836066,0.013835211284458637,2.0555039714708654,412.726216630613,0.9973890611680248,0.05761657655239105,0.03167109191417694
0.05,Client_1,0.002832524731376399,0.015668299049139023,0.42971895325037035,0.011694868448401995,0.001933159115729455,0.05494045093655586,0.03236004710197449
0.05,Client_2,0.002613225112954879,0.016570940613746643,0.2044866747824436,0.004980122121858933,0.000677769716245713,0.0565798357129097,0.035002756863832474
0.05,Client_1,0.0025997557008918108,0.017556194216012955,0.42086245249165377,0.006977767946412662,0.002090963031336258,0.052517835050821304,0.030119242146611214
0.05,Client_3,0.00236583961238979,0.017359834164381027,1.779985189496909,29.85045569082926,0.8355631051723611,0.05579023063182831,0.02980550192296505
0.05,Client_2,0.0029145256537729293,0.01728988252580166,0.20180349064147043,6.1051362871832815,0.16234592179630275,0.05359586700797081,0.032905541360378265
0.05,Client_3,0.002253316560547166,0.01847168244421482,1.6082493180363542,412.7262200270583,0.9709763011961343,0.05083028972148895,0.02799973078072071
0.05,Client_1,0.0025707313095200738,0.018860382959246635,0.36984932775401463,0.00042006676756445137,0.0019071162642395967,0.054753247648477554,0.028242571279406548
0.05,Client_2,0.0023875118111701885,0.018558286130428314,0.18946616584206416,11.790020191672875,0.027116572539626196,0.05181780084967613,0.03101617656648159
0.05,Client_1,0.00249732736738608,0.0192714836448431,0.375048788329117,0.0003701911361280804,0.001907001077792007,0.050833187997341156,0.030081814154982567
0.05,Client_3,0.0021963469360142046,0.017412496730685234,1.399789067448907,131.49757002736465,0.33888477078778767,0.054111648350954056,0.027681032195687294
0.05,Client_2,0.0022639525122690658,0.017172403633594513,0.19083004966717332,294.7086932550256,0.6592082181344204,0.050070870667696,0.027108393609523773
0.05,Client_1,0.002386216246686224,0.015132246538996696,0.34162329651760254,8.63326010482994,0.9351521207567771,0.049389153718948364,0.027174483984708786
0.05,Client_2,0.002345230877496913,0.015464241616427898,0.1838673163621646,0.15827331968156375,0.01777545060223621,0.049885865300893784,0.029903773218393326
0.05,Client_3,0.0022113436823562407,0.015820372849702835,1.3029441057843916,0.018740464744534918,0.04707241864098688,0.05340374633669853,0.02765735425055027
0.05,Client_1,0.0023791074902187355,0.01691525988280773,0.3306858492648819,0.004485732766096015,0.0019165246810214274,0.04991041123867035,0.02674877643585205
0.05,Client_2,0.002292204934001063,0.017949199303984642,0.19683449268916525,0.002639646883054287,0.0006723693424383972,0.05140523612499237,0.030177785083651543
0.05,Client_3,0.0021863064770249793,0.013597088865935802,1.2376127291411716,412.72622530975013,0.9974110959765402,0.054657742381095886,0.027624694630503654
0.05,Client_1,0.0023165107072230144,0.015403207391500473,0.27714668899669176,0.021548067844393302,0.0020974726895509267,0.05524415522813797,0.02778656780719757
0.05,Client_2,0.00208062524277945,0.016259193420410156,0.16272544869173508,0.04113421180177142,0.0010314584994253755,0.05006757006049156,0.02681834250688553
0.05,Client_3,0.00214422050977592,0.0140659399330616,1.1151121437035085,107.21434559583842,0.9968710588110239,0.052142638713121414,0.03066781349480152
